,item1,item2,similarity
0,race,HBA,-0.010817975352810979
1,race,admission_type_id,-0.01175576261312797
2,race,age,-0.00010367126343095112
3,race,diag_1,0.0011912339033341745
4,race,diag_2,-0.0029982982310682704
5,race,diag_3,-0.0007789230987363447
6,race,insulin,-0.0015023687719182674
7,race,max_glu_serum,-0.007827842749609367
8,race,metformin,-0.0029596305146941696
9,race,number_emergency,-0.011982364781591282
10,race,number_inpatient,-0.011522030513497063
11,race,time_in_hospital,-0.019685079481592548
0,age,HBA,-0.10033184802113662
1,age,admission_type_id,-0.05945285069657522
2,age,diag_1,-0.04420974841582352
3,age,diag_2,-0.042947769385659425
4,age,diag_3,-0.03286188547715105
5,age,insulin,-0.03888300177412849
6,age,max_glu_serum,-0.15781336226969256
7,age,metformin,-0.04243552394561165
8,age,number_emergency,-0.18718045653436519
9,age,number_inpatient,-0.1698249233698169
10,age,race,-0.0015258325343521272
11,age,time_in_hospital,-0.0437637938489519
0,admission_type_id,HBA,0.09747532365437152
1,admission_type_id,age,-0.05095807556481685
2,admission_type_id,diag_1,-0.01152894894342781
3,admission_type_id,diag_2,-0.025634534692744643
4,admission_type_id,diag_3,-0.023614967147618973
5,admission_type_id,insulin,0.024158507679525484
6,admission_type_id,max_glu_serum,0.1200968106000439
7,admission_type_id,metformin,0.03516704575436122
8,admission_type_id,number_emergency,0.14186666158550543
9,admission_type_id,number_inpatient,0.13459438573868754
10,admission_type_id,race,-0.002470899854070228
11,admission_type_id,time_in_hospital,0.02720895478339239
0,max_glu_serum,HBA,0.475358315416823
1,max_glu_serum,admission_type_id,-0.22539640276850167
2,max_glu_serum,age,-0.25651435100602316
3,max_glu_serum,diag_1,-0.2306581909596071
4,max_glu_serum,diag_2,-0.22053059754725146
5,max_glu_serum,diag_3,-0.21068249235253356
6,max_glu_serum,insulin,0.05258090993013377
7,max_glu_serum,metformin,0.06538810434888856
8,max_glu_serum,number_emergency,0.38772543966426554
9,max_glu_serum,number_inpatient,0.3434044250021106
10,max_glu_serum,race,-0.2539034028471439
11,max_glu_serum,time_in_hospital,-0.26220818986595135
0,HBA,admission_type_id,-0.40553025734284426
1,HBA,age,-0.49363689155532464
2,HBA,diag_1,-0.0354522124454986
3,HBA,diag_2,-0.02808720000203255
4,HBA,diag_3,-0.013061597449785571
5,HBA,insulin,0.06297851268026286
6,HBA,max_glu_serum,0.5033634537721691
7,HBA,metformin,0.04894303758010077
8,HBA,number_emergency,0.28184316203337
9,HBA,number_inpatient,0.26383843884439734
10,HBA,race,-0.4868230286515529
11,HBA,time_in_hospital,-0.490792933736644
0,metformin,HBA,0.052936279332265926
1,metformin,admission_type_id,-0.018654283921963326
2,metformin,age,-0.028276252272114017
3,metformin,diag_1,-0.03952116018651177
4,metformin,diag_2,-0.037423027404371915
5,metformin,diag_3,-0.03621651648663895
6,metformin,insulin,0.006017348752505163
7,metformin,max_glu_serum,0.06364708632104571
8,metformin,number_emergency,0.05395916063788381
9,metformin,number_inpatient,0.05139689455666724
10,metformin,race,-0.02734585416725532
11,metformin,time_in_hospital,-0.026453550709510706
0,insulin,HBA,0.08348963568448393
1,insulin,admission_type_id,-0.083147562956331
2,insulin,age,-0.1019705394181562
3,insulin,diag_1,0.014269563049646704
4,insulin,diag_2,0.013519725217796891
5,insulin,diag_3,0.016358340498182387
6,insulin,max_glu_serum,0.07587914066803651
7,insulin,metformin,0.010439532952378788
8,insulin,number_emergency,0.0454051261810075
9,insulin,number_inpatient,0.03385407261119218
10,insulin,race,-0.09726037915415549
11,insulin,time_in_hospital,-0.09716680872919893
0,diag_1,HBA,0.08970510570880237
1,diag_1,admission_type_id,-0.7308683014000542
2,diag_1,age,-0.7566666951111737
3,diag_1,diag_2,0.8249184452051315
4,diag_1,diag_3,0.8098110472350604
5,diag_1,insulin,0.009458320560174444
6,diag_1,max_glu_serum,-0.06861103671468645
7,diag_1,metformin,-0.060226929333015905
8,diag_1,number_emergency,-0.3112162623234063
9,diag_1,number_inpatient,-0.3272455132324791
10,diag_1,race,-0.7721613720352193
11,diag_1,time_in_hospital,-0.790577201369667
0,diag_2,HBA,0.07397732056812673
1,diag_2,admission_type_id,-0.7472541288245012
2,diag_2,age,-0.761154402680439
3,diag_2,diag_1,0.8249668529374447
4,diag_2,diag_3,0.8317141478494406
5,diag_2,insulin,0.008412236516061145
6,diag_2,max_glu_serum,-0.08340113484805509
7,diag_2,metformin,-0.06674230623079869
8,diag_2,number_emergency,-0.3316968352484967
9,diag_2,number_inpatient,-0.3477822321659758
10,diag_2,race,-0.7784891499489168
11,diag_2,time_in_hospital,-0.7999987940302111
0,diag_3,HBA,0.06572923994080623
1,diag_3,admission_type_id,-0.7507513830067303
2,diag_3,age,-0.761361747243711
3,diag_3,diag_1,0.8101287885449543
4,diag_3,diag_2,0.831872325048059
5,diag_3,insulin,0.00414643373078295
6,diag_3,max_glu_serum,-0.09687429883878389
7,diag_3,metformin,-0.07109369115751017
8,diag_3,number_emergency,-0.3530365796145905
9,diag_3,number_inpatient,-0.36404694115035446
10,diag_3,race,-0.7944680491282027
11,diag_3,time_in_hospital,-0.8089500213275495
0,time_in_hospital,HBA,0.06559259773700157
1,time_in_hospital,admission_type_id,0.03800850144171992
2,time_in_hospital,age,-0.0437637938489519
3,time_in_hospital,diag_1,0.01559772167817964
4,time_in_hospital,diag_2,0.009897743059521838
5,time_in_hospital,diag_3,0.009184970428074563
6,time_in_hospital,insulin,0.022094549674929232
7,time_in_hospital,max_glu_serum,0.09683178990902519
8,time_in_hospital,metformin,0.025804063028235773
9,time_in_hospital,number_emergency,0.11376354680271672
10,time_in_hospital,number_inpatient,0.10425127347251555
11,time_in_hospital,race,-0.006596365000535866
0,number_inpatient,HBA,0.3143784362057274
1,number_inpatient,admission_type_id,-0.01039340378740843
2,number_inpatient,age,-0.06982436352051
3,number_inpatient,diag_1,-0.2910084175757726
4,number_inpatient,diag_2,-0.28594480461261046
5,number_inpatient,diag_3,-0.2864643390126038
6,number_inpatient,insulin,0.03738570283838496
